TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EMBR3;55,56;;15,83;2,58;0,68;17,54;10,36;8,27;12,64;15,10;2,47;0,51;1,31;3,80;-1,46;1,50;16,33;4,30;9,40;0,26;0,71;0,52;6,88;;288.348.104,55;21,49;3,51;0,00;41.073.595.990,68
ENAT3;21,80;;10,29;1,29;0,46;24,54;56,10;25,34;4,65;5,12;0,47;0,13;2,61;1,31;-0,85;3,90;12,53;4,43;9,01;0,35;0,65;0,17;11,74;5,75;131.091.609,35;16,91;2,12;0,01;5.785.005.265,20
ENBR3;24,08;;7,34;1,26;0,41;28,63;25,52;11,02;3,17;5,37;2,21;0,88;0,81;9,32;-0,55;1,21;17,14;5,59;14,46;0,33;0,64;0,51;5,16;8,42;;19,15;3,28;0,02;13.994.459.653,44
ENEV3;11,71;;28,30;1,51;0,51;39,82;30,67;8,65;7,98;14,29;6,28;1,19;2,45;33,40;-0,57;1,16;5,35;1,80;3,65;0,34;0,64;0,21;26,39;-2,06;108.002.262,35;7,75;0,41;0,18;22.746.605.097,59
ENGI11;41,21;4,85;7,62;1,16;0,26;26,72;19,73;7,69;2,97;6,81;3,84;1,50;0,59;6,52;-0,34;1,18;15,26;3,36;9,92;0,22;0,72;0,44;12,56;16,62;122.661.321,25;35,44;5,41;0,16;18.901.490.017,73
ENGI3;12,22;3,24;11,42;1,74;0,38;26,72;19,73;7,69;4,45;6,81;3,84;1,50;0,88;9,77;-0,51;1,18;15,26;3,36;9,92;0,22;0,72;0,44;12,56;16,62;42.758,30;7,09;1,08;0,24;18.901.490.017,73
ENGI4;7,28;2,77;6,67;1,02;0,22;26,72;19,73;7,69;2,60;6,81;3,84;1,50;0,51;5,71;-0,30;1,18;15,26;3,36;9,92;0,22;0,72;0,44;12,56;16,62;62.591,10;7,09;1,08;0,14;18.901.490.017,73
ENJU3;1,16;;-6,53;0,74;0,55;55,14;-19,01;-14,08;-4,84;-0,55;4,25;-0,65;0,92;1,39;-1,29;3,28;-11,35;-8,47;-15,72;0,75;0,25;0,60;37,91;;701.185,05;1,58;-0,18;0,39;237.820.868,40
ENMA3B;50,49;;10,90;2,06;0,83;29,44;17,22;12,37;7,83;;2,74;0,72;1,35;67,84;-1,10;1,05;18,85;7,63;12,79;0,40;0,60;0,62;8,35;2,49;;24,56;4,63;-0,61;
ENMA6B;83,99;;18,14;3,42;1,38;29,44;17,22;12,37;13,02;;2,74;0,72;2,24;112,85;-1,82;1,05;18,85;7,63;12,79;0,40;0,60;0,62;8,35;2,49;;24,56;4,63;-1,02;
ENMT3;82,98;1,57;14,39;4,58;1,29;30,96;24,73;15,85;9,22;11,91;2,55;1,26;2,28;128,24;-1,71;1,04;31,81;8,93;17,21;0,28;0,72;0,56;11,58;24,21;2.425,70;18,12;5,77;1,52;18.443.153.455,02
ENMT4;84,90;1,54;14,72;4,68;1,32;30,96;24,73;15,85;9,44;11,91;2,55;1,26;2,33;131,21;-1,75;1,04;31,81;8,93;17,21;0,28;0,72;0,56;11,58;24,21;4.588,30;18,12;5,77;1,56;18.443.153.455,02
EPAR3;5,27;54,52;-4,99;1,02;0,83;11,73;4,43;-8,73;9,84;7,34;-2,50;-0,26;0,44;3,80;-1,13;5,11;-20,45;-16,59;6,03;0,81;0,19;1,90;4,97;;30.690,85;5,17;-1,06;0,03;78.315.193,36
EQPA3;5,55;;5,91;2,85;0,80;32,35;25,13;19,33;4,55;5,63;1,08;0,68;1,14;15,15;-1,21;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;36.530,35;1,95;0,94;-3,48;12.271.271.661,95
EQPA5;8,14;;8,67;4,18;1,17;32,35;25,13;19,33;6,67;5,63;1,08;0,68;1,68;22,22;-1,77;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;0,00;1,95;0,94;-5,10;12.271.271.661,95
EQPA6;8,00;;8,52;4,11;1,15;32,35;25,13;19,33;6,55;5,63;1,08;0,68;1,65;21,84;-1,74;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;0,00;1,95;0,94;-5,02;12.271.271.661,95
EQPA7;8,24;;8,78;4,23;1,19;32,35;25,13;19,33;6,75;5,63;1,08;0,68;1,70;22,49;-1,79;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;0,00;1,95;0,94;-5,17;12.271.271.661,95
